cluster_index,x,y
0,116.3368019,39.96332308
1,116.3390712,39.99351564
2,116.3051497,39.94795983
3,116.3340912,39.9468586
4,116.3403443,39.9866403
5,116.3293353,39.97019609
6,116.3229609,39.98663983
7,116.2689968,40.01631029
8,116.2909882,39.98343648
9,116.3328337,39.98255523
10,116.303271,39.9849969
11,116.3619308,39.97395375
12,116.2621242,40.03422733
13,116.2948153,39.96564058
14,116.314339,39.93025399
15,116.2734762,39.92978751
16,116.3071761,39.96172145
17,116.3037717,39.96852987
18,116.3015622,39.91631812
19,116.2910553,39.9518607
20,116.3420434,39.94955765
21,116.3519273,39.95217205
22,116.3191882,39.98935028
23,116.2821965,39.90920572
24,116.3301991,39.95921564
25,116.3210803,39.98524968
26,116.347001,39.95636419
27,116.3166505,39.9453877
28,116.2545629,39.9024979
29,116.3560816,39.96994597
30,116.2893678,39.9381109
31,116.3124408,39.93709211
32,116.3326664,39.96882587
33,116.3294511,39.95097729
34,116.2988504,39.93687277
35,116.3065462,39.94386507
36,116.3283051,39.97980375
37,116.3342771,39.96607717
38,116.3187116,39.97424141
39,116.2757028,39.95449897
40,116.2967405,39.97253448
41,116.3304259,39.96058843
42,116.3126374,39.91649612
43,116.3201966,39.98798786
44,116.3327504,39.95235186
45,116.2721954,39.92017724
46,116.3183691,39.9042085
47,116.294519,39.96426372
48,116.3644257,39.97253266
49,116.3685449,39.9697077
50,116.3269015,39.90702548
